industry,n,low,low_rate,mean_csat
Education,287,111,0.3867595818815331,2.989547038327526
Financial Services,303,123,0.40594059405940597,2.924092409240924
Government & Public Sector,150,53,0.35333333333333333,3.14
Healthcare,279,96,0.34408602150537637,3.161290322580645
Manufacturing,200,86,0.43,2.925
Media & Communications,199,74,0.37185929648241206,3.090452261306533
Other,182,72,0.3956043956043956,2.9450549450549453
Professional Services,402,168,0.417910447761194,2.945273631840796
Retail,253,95,0.37549407114624506,3.047430830039526
Technology,514,224,0.4357976653696498,2.9085603112840466
