ticket_subject,n,low,low_rate,mean_csat
Account access,171,74,0.4327485380116959,2.9415204678362574
Cancellation request,148,55,0.3716216216216216,3.0675675675675675
Data loss,147,59,0.4013605442176871,2.9659863945578233
Device compatibility issue,183,71,0.3879781420765027,3.0
Display issue,155,56,0.36129032258064514,3.07741935483871
Email delivery problem,178,86,0.48314606741573035,2.803370786516854
Installation support,158,53,0.33544303797468356,3.1835443037974684
Integration,158,57,0.36075949367088606,2.962025316455696
Loading issue,173,74,0.4277456647398844,2.953757225433526
Network problem,201,88,0.43781094527363185,2.8805970149253732
Payment issue,156,60,0.38461538461538464,3.0576923076923075
Product compatibility,195,77,0.39487179487179486,2.958974358974359
Product recommendation,186,73,0.3924731182795699,2.967741935483871
Product setup,183,74,0.40437158469945356,2.9836065573770494
Refund request,178,66,0.3707865168539326,3.067415730337079
Software bug,199,79,0.3969849246231156,3.0452261306532664
