ticket_id,customer_id,product_purchased,ticket_status,ticket_priority,plan_type,customer_satisfaction_rating,sessions_baseline,sessions_recent,sessions_change,decline20
1,CUST01085,Jira,Pending Customer Response,Critical,Free,,9.0,9.0,0.0,False
2,CUST01335,Confluence,Pending Customer Response,Critical,Standard,,5.5,8.0,0.4545454545454546,False
3,CUST02581,Trello,Closed,Low,Premium,3.0,26.0,26.0,0.0,False
4,CUST00742,Loom,Closed,Low,Premium,3.0,10.0,7.0,-0.30000000000000004,True
5,CUST00741,Bitbucket,Closed,Low,Enterprise,1.0,14.5,12.5,-0.13793103448275867,False
6,CUST06779,Loom,Open,Low,Free,,8.0,8.0,0.0,False
7,CUST01920,Jira,Open,Critical,Premium,,23.5,20.5,-0.12765957446808507,False
8,CUST03575,Confluence,Open,Critical,Standard,,9.5,13.0,0.368421052631579,False
9,CUST03782,Trello,Pending Customer Response,Low,Premium,,19.0,15.5,-0.1842105263157895,False
10,CUST01352,Loom,Pending Customer Response,Critical,Standard,,10.0,9.5,-0.050000000000000044,False
11,CUST04879,Bitbucket,Closed,High,Premium,1.0,15.0,11.0,-0.2666666666666667,True
12,CUST01725,Jira,Closed,High,Free,1.0,17.5,16.0,-0.08571428571428574,False
13,CUST03418,Confluence,Pending Customer Response,Low,Enterprise,,36.0,37.0,0.02777777777777768,False
14,CUST02677,Trello,Pending Customer Response,Low,Premium,,27.5,34.5,0.25454545454545463,False
15,CUST04930,Loom,Closed,High,Premium,4.0,13.5,16.5,0.22222222222222232,False
16,CUST00260,Bitbucket,Pending Customer Response,High,Premium,,18.5,19.5,0.054054054054053946,False
17,CUST07798,Jira,Closed,Critical,Premium,4.0,22.0,21.5,-0.022727272727272707,False
18,CUST05269,Jira,Pending Customer Response,High,Free,,18.5,21.0,0.1351351351351351,False
19,CUST00788,Confluence,Open,High,Standard,,10.5,13.0,0.23809523809523814,False
20,CUST03199,Trello,Closed,Low,Standard,5.0,19.0,12.5,-0.3421052631578947,True
21,CUST06441,Loom,Pending Customer Response,High,Standard,,25.0,19.5,-0.21999999999999997,True
22,CUST08241,Trello,Pending Customer Response,Critical,Free,,21.5,24.0,0.11627906976744184,False
23,CUST04539,Jira,Open,Medium,Standard,,10.5,11.5,0.09523809523809534,False
24,CUST01055,Confluence,Pending Customer Response,Low,Premium,,30.5,30.5,0.0,False
25,CUST04388,Bitbucket,Open,Critical,Standard,,14.0,12.0,-0.1428571428571429,False
26,CUST03668,Loom,Pending Customer Response,Medium,Standard,,16.0,13.5,-0.15625,False
27,CUST05943,Jira,Pending Customer Response,Low,Premium,,18.5,21.5,0.16216216216216206,False
28,CUST03317,Confluence,Open,High,Standard,,14.5,14.0,-0.03448275862068961,False
29,CUST02457,Confluence,Closed,Critical,Premium,5.0,15.5,12.5,-0.19354838709677424,False
30,CUST06802,Jira,Closed,Medium,Free,1.0,7.5,9.5,0.2666666666666666,False
31,CUST03483,Trello,Open,Low,Standard,,20.5,18.5,-0.09756097560975607,False
32,CUST08304,Bitbucket,Closed,Medium,Standard,3.0,22.0,22.0,0.0,False
33,CUST02638,Confluence,Pending Customer Response,Medium,Premium,,15.5,20.5,0.32258064516129026,False
34,CUST01640,Bitbucket,Closed,Critical,Standard,5.0,23.5,22.5,-0.04255319148936165,False
35,CUST02297,Jira,Pending Customer Response,Low,Standard,,30.5,29.5,-0.032786885245901676,False
36,CUST03455,Jira,Closed,High,Standard,1.0,19.5,17.5,-0.10256410256410253,False
37,CUST03945,Trello,Pending Customer Response,Medium,Standard,,43.5,52.0,0.1954022988505748,False
38,CUST02093,Bitbucket,Open,Medium,Free,,10.5,9.0,-0.1428571428571429,False
39,CUST07659,Loom,Closed,Critical,Standard,3.0,3.0,1.5,-0.5,True
40,CUST07036,Bitbucket,Pending Customer Response,Medium,Premium,,23.0,19.0,-0.17391304347826086,False
41,CUST06773,Jira,Pending Customer Response,Low,Standard,,33.5,32.5,-0.02985074626865669,False
42,CUST06781,Trello,Closed,Critical,Standard,3.0,12.0,11.5,-0.04166666666666663,False
43,CUST07994,Confluence,Pending Customer Response,Medium,Standard,,9.5,11.0,0.1578947368421053,False
44,CUST00024,Trello,Open,Low,Free,,8.5,5.0,-0.4117647058823529,True
45,CUST04338,Loom,Closed,Critical,Premium,2.0,4.0,7.5,0.875,False
46,CUST01661,Confluence,Open,Low,Premium,,26.5,24.0,-0.09433962264150941,False
47,CUST00022,Confluence,Closed,High,Standard,1.0,6.5,7.5,0.15384615384615374,False
48,CUST00647,Jira,Closed,Medium,Standard,1.0,21.0,22.0,0.04761904761904767,False
49,CUST03865,Loom,Open,High,Standard,,5.5,8.5,0.5454545454545454,False
50,CUST07260,Loom,Open,Medium,Standard,,16.0,20.5,0.28125,False
51,CUST06102,Bitbucket,Open,Medium,Premium,,38.5,40.5,0.051948051948051965,False
52,CUST08027,Confluence,Closed,Medium,Enterprise,3.0,25.5,25.5,0.0,False
53,CUST02850,Trello,Closed,High,Free,3.0,17.5,13.0,-0.2571428571428571,True
54,CUST06551,Loom,Closed,Low,Standard,4.0,16.5,14.5,-0.12121212121212122,False
55,CUST05390,Jira,Pending Customer Response,Low,Standard,,14.0,18.5,0.3214285714285714,False
56,CUST07921,Confluence,Pending Customer Response,Critical,Standard,,11.5,13.5,0.17391304347826098,False
57,CUST04900,Bitbucket,Pending Customer Response,Medium,Standard,,23.5,21.5,-0.08510638297872342,False
58,CUST05991,Bitbucket,Open,Critical,Premium,,13.0,13.0,0.0,False
59,CUST04631,Bitbucket,Closed,Medium,Standard,5.0,18.5,19.0,0.027027027027026973,False
60,CUST00312,Jira,Closed,Medium,Enterprise,3.0,14.5,15.5,0.06896551724137923,False
61,CUST02717,Confluence,Closed,Medium,Standard,1.0,16.0,8.5,-0.46875,True
62,CUST00104,Jira,Pending Customer Response,Critical,Free,,10.0,10.5,0.050000000000000044,False
63,CUST02331,Jira,Closed,High,Free,4.0,6.0,8.0,0.33333333333333326,False
64,CUST07321,Trello,Pending Customer Response,High,Standard,,18.0,14.5,-0.19444444444444442,False
65,CUST03112,Jira,Open,Medium,Free,,11.5,11.5,0.0,False
66,CUST05861,Jira,Pending Customer Response,Medium,Standard,,15.0,14.5,-0.033333333333333326,False
67,CUST02534,Jira,Closed,High,Standard,5.0,25.0,24.0,-0.040000000000000036,False
68,CUST05999,Loom,Pending Customer Response,Low,Enterprise,,26.5,30.5,0.15094339622641506,False
69,CUST03299,Trello,Pending Customer Response,Critical,Premium,,5.0,8.0,0.6000000000000001,False
70,CUST07876,Trello,Closed,High,Standard,1.0,29.0,24.0,-0.1724137931034483,False
71,CUST02433,Loom,Pending Customer Response,Medium,Enterprise,,15.5,11.0,-0.29032258064516125,True
